Id,Locality,Type,SubType,Price,Sale_Type,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool
20278524,Gent,Other,offices,860000,Private,0,450,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,450,450,Good,4,FALSE
20311402,Mechelen,Other,mixed-use-building-offices,995000,Private,0,419,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,419,0,To be done up,2,FALSE
20311809,Antwerpen,Other,offices,215000,Private,0,40,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,40,0,As new,2,FALSE
11393966,Antwerpen,Other,offices,149000,Private,0,67,TRUE,FALSE,FALSE,TRUE,10,TRUE,10,87,73,Just renovated,3,FALSE
20301468,Anderlecht,Other,offices,520000,Private,0,525,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,525,525,Good,4,FALSE
20312374,Destelbergen,Other,offices,1080000,Private,0,277,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,277,1453,As new,0,FALSE
20306292,Deurne,Other,offices,139000,Private,0,52,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,52,405,Just renovated,3,FALSE
20303507,Bavegem,Other,mixed-use-building-offices,499000,Private,0,270,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,270,0,Good,4,FALSE
20278459,Maaseik,Other,building,975000,Private,0,409,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,409,1682,As new,0,FALSE
20295334,Leuven,Other,office-block,2221300,Private,0,1898,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1898,1898,Good,4,FALSE
20310169,Beveren,Other,offices,835000,Private,0,80,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,80,382,Good,4,FALSE
20308495,Laken,Other,office-block,355000,Private,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,To renovate,2,FALSE
20301403,Eeklo,Other,mixed-use-building-offices,650000,Private,0,383,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,383,857,Good,3,FALSE
