id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
20278524,gent,other,offices,860000,,450,0,0,0,0,,0,,450,450,Good,4,0
20311402,mechelen,other,mixed-use-building-offices,995000,,419,1,0,0,0,,0,,419,0,To be done up,2,0
20311809,antwerpen,other,offices,215000,,40,0,0,0,0,,0,,40,0,As new,2,0
11393966,antwerpen,other,offices,149000,,67,1,0,0,1,10,1,10,87,73,Just renovated,3,0
20301468,anderlecht,other,offices,520000,,525,0,0,0,0,,0,,525,525,Good,4,0
20312374,destelbergen,other,offices,1080000,,277,0,0,0,0,,0,,277,1453,As new,0,0
20306292,deurne,other,offices,139000,,52,0,0,0,0,,0,,52,405,Just renovated,3,0
20303507,sint-lievens-houtem,other,mixed-use-building-offices,499000,,270,1,0,0,0,,0,,270,0,Good,4,0
20278459,maaseik,other,building,975000,,409,0,0,0,0,,0,,409,1682,As new,0,0
20295334,louvain,other,office-block,2221300,,1898,0,0,0,0,,0,,1898,1898,Good,4,0
20310169,roeselare,other,offices,835000,,80,0,0,0,0,,0,,80,382,Good,4,0
20308495,laken,other,office-block,355000,,,0,0,0,0,,0,,0,0,To renovate,2,0
20301403,eeklo,other,mixed-use-building-offices,650000,,383,1,0,0,0,,0,,383,857,Good,3,0
20265380,dudzele,other,offices,815000,,510,1,0,0,0,,0,,510,1119,Good,3,0
20268207,hasselt,other,office-block,295000,,192,0,0,0,0,,0,,192,0,Good,0,0
20289081,lierde,other,mixed-use-building-offices,349000,,248,1,0,0,0,,0,,248,0,Good,4,0
20299397,braine-lalleud,other,offices,250000,,250,0,0,0,0,,0,,250,250,As new,4,0
20242575,sint-jans-molenbeek,other,office-block,245000,,,1,0,0,0,,0,,0,0,Good,2,0
20307761,landen,other,office-block,550000,,220,0,0,0,0,,0,,220,220,Just renovated,2,0
20307655,lebbeke,other,offices,185000,,87,0,0,0,0,,0,,87,0,,0,0
20255698,aalst%20%289300%29,other,office-block,349000,,222,1,1,0,0,,0,,222,222,Good,0,0
20304689,namur,other,building,695000,,325,0,0,0,0,,0,,325,1100,As new,4,0
20307410,denderleeuw,other,mixed-use-building-offices,498000,,315,0,0,0,0,,0,,315,749,To be done up,2,0
20307367,halle,other,offices,395000,,538,0,0,0,0,,0,,538,213,,0,0
20236340,sankt%20vith,other,offices,330000,,153,0,0,0,0,,0,,153,0,Good,2,0
20306144,uccle,other,offices,150000,,33,0,0,0,0,,0,,33,0,As new,0,0
20306120,herentals,other,mixed-use-building-offices,299000,,128,0,0,0,0,,0,,128,85,,0,0
20240893,brussels,other,offices,450000,,250,0,0,0,0,,0,,250,406,To renovate,2,0
11400930,saint-gilles,other,office-block,5550000,,2450,1,0,0,0,,0,,2450,1340,As new,4,0
20113704,ixelles,other,offices,270000,,60,0,0,0,0,,0,,60,55,As new,2,0
20265744,laeken,other,offices,290000,,150,1,0,0,0,,0,,150,200,Good,2,0
11173080,ixelles,other,mixed-use-building-offices,590830,,195,0,0,0,0,,0,,195,206,As new,2,0
20217238,ixelles,other,offices,345000,,64,1,0,0,0,,0,,64,0,Good,4,0
20305982,torhout,other,offices,479000,,380,0,0,0,0,,0,,380,808,Good,0,0
20305920,aalst,other,mixed-use-building-offices,595000,,183,0,0,0,0,,0,,183,0,,2,0
20305741,wavre,other,office-block,165000,,75,0,0,0,1,,0,,75,0,Good,0,0
20305727,antwerpen,other,offices,995000,,297,0,0,0,0,,0,,297,0,As new,0,0
20305629,gent,other,building,1985000,,350,0,0,0,0,,0,,350,350,Good,0,0
20305421,sint-denijs-westrem,other,offices,12000000,,3360,0,0,0,0,,0,,3360,3360,As new,4,0
20305126,saint-nicolas,other,offices,65000,,61,0,0,0,0,,0,,61,0,,2,0
20304907,drogenbos,other,offices,1338200,,1475,0,0,0,0,,0,,1475,1475,Good,4,0
20304851,fosses-la-ville,other,building,215000,,202,0,0,0,1,,0,,202,164,,3,0
20304850,fosses-la-ville,other,offices,215000,,202,0,0,0,1,,0,,202,164,,3,0
20304784,brugge,other,offices,1250000,,306,0,0,0,0,,0,,306,1382,Good,0,0
10604951,mechelen,other,offices,598000,,230,1,0,0,0,,0,,230,230,Good,0,0
20155710,gent,other,offices,868610,,267,0,0,0,0,,0,,267,267,As new,4,0
20177456,wijnegem,other,offices,895000,,200,0,0,0,0,,0,,200,0,As new,3,0
11125028,hasselt,other,offices,1990000,,622,0,0,0,0,,0,,622,622,Good,4,0
20124824,beervelde,other,office-block,2350000,,1225,0,0,0,0,,0,,1225,2275,Just renovated,0,0
11125029,hasselt,other,offices,2475000,,773,0,0,0,0,,0,,773,773,Good,4,0
11125027,hasselt,other,offices,4465000,,1395,0,0,0,0,,0,,1395,1395,Good,4,0
11127214,ixelles,other,offices,4500000,,1100,0,0,0,0,,0,,1100,560,Good,0,0
11444471,louvain,other,offices,6700000,,5051,0,0,0,0,,0,,5051,5051,Good,4,0
11444555,louvain,other,offices,6700000,,5051,0,0,0,0,,0,,5051,5051,Good,4,0
20268630,antwerpen,other,office-block,1185000,,550,1,1,0,0,,0,,550,550,As new,3,0
20273870,antwerpen,other,offices,498000,,323,0,0,0,0,,0,,323,323,Just renovated,3,0
20178271,brugge,other,offices,995000,,420,0,0,0,0,,0,,420,333,Good,4,0
20173315,tervuren,other,offices,1260000,,525,1,0,0,0,,0,,525,0,Good,2,0
20202564,wijnegem,other,offices,1690000,,279,0,0,0,1,18,0,,297,0,As new,0,0
11456546,blankenberge,other,offices,349000,,177,0,0,0,0,,0,,177,0,As new,2,0
11490956,vilvorde,other,offices,45000,,50,0,0,0,0,,0,,50,50,Good,4,0
10827970,schepdaal,other,offices,159410,,84,0,0,0,0,,0,,84,84,Good,4,0
20038462,antwerpen,other,offices,165000,,35,0,0,0,0,,0,,35,51,Just renovated,2,0
10689094,blankenberge,other,office-block,349000,,177,1,0,0,0,,0,,177,177,Good,4,0
20045268,ixelles,other,offices,399000,,132,1,0,0,0,,0,,132,337,Good,2,0
9810256,drogenbos,other,offices,420300,,467,0,0,0,0,,0,,467,467,Good,4,0
10827969,schepdaal,other,offices,438197,,230,0,0,0,0,,0,,230,230,Good,4,0
20055343,woluwe-saint-pierre,other,mixed-use-building-offices,495000,,153,1,0,0,0,,0,,153,0,To renovate,2,0
9827564,woluwe-st-etienne,other,offices,532000,,591,0,0,0,0,,0,,591,591,Good,4,0
11491603,eeklo,other,offices,575000,,335,0,0,0,0,,0,,335,1161,To be done up,2,0
20025927,la-hulpe,other,mixed-use-building-offices,590000,,345,0,0,0,0,,0,,345,321,Good,3,0
20061622,roeselare,other,offices,595000,,227,0,0,0,1,25,0,,252,457,Good,2,0
10983446,anderlecht,other,offices,620000,,564,0,0,0,0,,0,,564,564,Good,4,0
11032652,hasselt,other,office-block,675000,,340,1,0,0,0,,0,,340,340,Good,2,0
9806409,vilvorde,other,offices,700000,,780,0,0,0,0,,0,,780,780,Good,4,0
20273708,roeselare,other,offices,995000,,550,0,0,0,0,,0,,550,452,Good,0,0
20273397,tienen,other,offices,119000,,103,0,0,0,0,,0,,103,122,As new,2,0
20273389,seraing%20jemeppesur-meuse,other,mixed-use-building-offices,275000,,566,1,0,0,0,,0,,566,0,Good,2,0
20273343,oostende,other,offices,195000,,,0,0,0,0,,0,,0,96,Good,4,0
20273325,nivelles,other,offices,370000,,161,1,0,0,0,,0,,161,0,,2,0
20273324,nivelles,other,building,370000,,161,1,0,0,0,,0,,161,0,,2,0
20272874,arlon,other,building,350000,,350,1,0,0,1,25,1,50,425,0,To be done up,2,0
